SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
950,0.87,1.098,93.99,4.44,0.88,1,5,6,78.446073,76.64
677.5,0.62,1.11,94.69,3.16,2.15,0.8,150,6,91.50752,180
1953,0.981,0.96,85.2,14.8,0,0.9,0.25,6,111.409281,85.3
748,0.41,0.84,88.53,10.05,1.42,1,1,6,244.44436,323
2670.8,1.41,1.08,81.5,18.5,0,1,5,6,272.025333,268
796,0.68,1.098901,94.971,1.105,0,1,0.5,6,102.987446,107.3
760.49,0.51,1.22,86.62,9.48,3.9,1,1,6,241.24664,149
520,1.5,0.84,90.1,9.9,0,1,50,6,108.547367,110
1542.5,1.19,0.83,90,9.3,0.7,1,0.2,6,275.99856,242.2
1684,1.57,1.008,94.42,4.43,1.15,1.2,20,6,175.039884,224
592,1.5,0.93,90,10,0,1,50,6,180.169774,177
950,0.87,1.098,93.99,4.44,0.88,1,1,6,111.705108,75.61
165,1.4,0.88,80,10,3.77,1.1,1,6,258.648633,243.5
460,0.2,0.1,88.1,11.82,0,1,0.1,6,209.303524,324
1841,1.05,1.78,81.47,17.14,1.39,0.9,1,6,256.001741,187
81.7,0.11,0.85,87.2,10,0,2.4,0,6,280.86571,341
520,1.5,0.88,90,10,0,1,2,6,141.3995,147
520,1.5,0.84,90.1,9.9,0,1,5,6,119.160132,120
2695,1.2,1.02,79,17.5,3.4,1.2,1,1,314.969683,263
1556,3,1.7,60,35,0,3.5,1.22,6,60.829433,19.5
2670.8,1.41,1.08,81.5,18.5,0,1,10,6,265.3985,253
341,1.34,1.03,93.74,2.85,1.02,1,0.1,6,105.083786,29.6
520,1.5,0.88,90,10,0,1,10,6,132.216024,133
520,1.5,0.81,90.1,9.9,0,1,1,6,133.4735,127
950,0.87,1.098,93.99,4.44,0.88,1,7,6,77.160741,76.28
190.38,0.88,1,85.5,11.3,3.2,1,20,6,167.039137,290
20,0.021,1.52,68.5,31.51,0,1.8,0.5,6,214.964033,388
779,0.48,1,88.174,3.869,0.414,1,0.5,6,141.599142,142.8
520,1.5,0.84,90,10,0,1,0.5,6,160.534167,142
3265,1.535,0.95,84.2,15.8,0,0.9,0.1,6,125.156324,113.7
779,0.48,1,88.174,3.869,0.414,1,1,6,141.953108,140.5
928,0.53,0.83,83.86,14.63,1.51,1,20,6,262.136372,252
945.76,1.39,1.34,87.5,6.91,5.59,1,1,6,228.798039,256
801,0.9,1.15,89.9,10.1,0,1,0,6,94.903517,218
2738.6,1.452,0.98,87.51,11.41,1.08,1,0.5,6,292.736417,327.5
423.2,1.52,1.1,84.5,9.6,5.9,1,1,6,219.587743,378
805.58,0.68,1.51,82.42,9.24,8.34,1,1,6,257.866842,323
