SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
629.62,0.27,1.098,80.27,8.01,11.72,1,10,6,164.65769,167.7195
844.82,0.48,1.147,82.77,7.11,9.52,1,10,6,264.91072,295.302
877.8,0.49,0.988,85.64,5.34,8.52,1,10,6,171.5325,149.9906
585.28,0.48,0.934,90.39,4.73,4.33,1,10,6,129.990724,110.08
711.1,0.73,0.78,87.8,8.5,3.7,1,0.2,6,252.759579,271.5
1249,1.02,0.82,89.9,8.5,1.6,1,0.2,6,223.023533,211.6
1542.5,1.19,0.83,90,9.3,0.7,1,0.2,6,247.752233,242.2
1847.5,1.44,0.85,95.2,4.6,0.2,1,0.2,6,261.66411,260.3
943,0.44,1.15,74.62,23.32,2.06,0.9,1,6,252.776317,232
1177,0.55,1.27,76.23,21.89,1.88,0.9,1,6,271.997167,267
1733,0.86,1.38,79.38,18.98,1.64,0.9,1,6,294.652548,304
1841,1.05,1.78,81.47,17.14,1.39,0.9,1,6,212.230733,187
1554,0.94,2.35,83.67,15.24,1.09,0.9,1,6,191.950853,204
1733,0.86,1.38,79.38,18.98,1.64,0.9,50,6,187.35302,183.008
1733,0.86,1.38,79.38,18.98,1.64,0.9,2,6,288.017167,293
1733,0.86,1.38,79.38,18.98,1.64,0.9,3,6,280.5905,282
1733,0.86,1.38,79.38,18.98,1.64,0.9,5,6,255.696667,261
1733,0.86,1.38,79.38,18.98,1.64,0.9,7,6,236.167912,233
1733,0.86,1.38,79.38,18.98,1.64,0.9,10,6,217.497533,211
1733,0.86,1.38,79.38,18.98,1.64,0.9,20,6,201.867533,202
1733,0.86,1.38,79.38,18.98,1.64,0.9,30,6,194.849905,191
2385,1.36,0.8,91.7,8.3,0,1,0.5,6,292.008833,294
3003,1.62,0.86,92.51,5.79,1.7,1,0.5,6,372.79446,390
786.15,0.439,0.77,90.97,6.22,0,1,1,6,235.972158,260
786.15,0.439,0.77,90.97,6.22,0,1,20,6,181.110143,170
786.15,0.439,0.77,90.97,6.22,0,1,0.1,6,268.506158,294.5
1325,0.884,1.02,90.72,8.1,1.17,1.2,4,6,198.788576,188
1417,1.56,1.01,87.89,10.13,1.99,1.2,4,6,186.235928,156
1684,1.57,1.008,94.42,4.43,1.15,1.2,1,6,217.125518,224
1684,1.57,1.008,94.42,4.43,1.15,1.2,20,6,205.708418,224
1684,1.57,1.008,94.42,4.43,1.15,1.2,4,6,209.217918,210
1059.3,0.5341,1.11,84.58,14.01,1.41,0.8,1,6,235.656878,233
2718,1.503,0.96,80.8,18.1,1.1,1,1,6,317.1198,309.6
1132,0.579,0.95,82.4,17.6,0,0.9,0.1,6,89.816417,70.2
1369,0.637,0.94,87.3,12.7,0,0.9,0.1,6,106.985233,106.2
2704,1.333,0.95,80.8,19.2,0,0.9,0.1,6,104.200483,94.1
2536,1.177,1.01,86.2,13.8,0,0.9,0.1,6,150.836867,162.3
1953,0.981,0.96,85.2,14.8,0,0.9,0.1,6,102.48248,91.7
