SA,PoreV,Id/Ig,C,'Potential V',Current,Electrolyte,predictedCap,Cap
1684,1.57,1.008,94.42,1.2,20,6,224,224
1684,1.57,1.008,94.42,1.2,4,6,210,210
1059.3,0.5341,1.11,84.58,0.8,1,6,232.5,233
2718,1.503,0.96,80.8,1,1,6,309.6,309.6
1132,0.579,0.95,82.4,0.9,0.1,6,69.05,70.2
1369,0.637,0.94,87.3,0.9,0.1,6,106.2,106.2
2704,1.333,0.95,80.8,0.9,0.1,6,91.4,94.1
2536,1.177,1.01,86.2,0.9,0.1,6,162.3,162.3
1953,0.981,0.96,85.2,0.9,0.1,6,88.5,91.7
1435,0.664,0.94,89.1,0.9,0.1,6,122.6,122.6
3265,1.535,0.95,84.2,0.9,0.1,6,113.7,113.7
1132,0.579,0.95,82.4,0.9,0.25,6,69.05,67.9
1369,0.637,0.94,87.3,0.9,0.25,6,95,95
2704,1.333,0.95,80.8,0.9,0.25,6,91.4,88.7
2536,1.177,1.01,86.2,0.9,0.25,6,137.8,137.8
1953,0.981,0.96,85.2,0.9,0.25,6,88.5,85.3
1435,0.664,0.94,89.1,0.9,0.25,6,111.5,111.5
3265,1.535,0.95,84.2,0.9,0.25,6,104.3,104.3
1705,0.92,0.85,76.6,0.9,0.05,6,102,102
1705,0.92,0.85,76.6,0.9,0.5,6,75,75
2738.6,1.452,0.98,87.51,1,2,6,286,286
3977.3,2.215,1.02,93.43,1,2,6,321.4,321.4
3325.6,2.372,1.04,94.26,1,2,6,354.4,354.4
2738.6,1.452,0.98,87.51,1,10,6,236,236
2738.6,1.452,0.98,87.51,1,0.5,6,327.5,327.5
3977.3,2.215,1.02,93.43,1,10,6,268,268
3977.3,2.215,1.02,93.43,1,0.5,6,376.85,379.7
3325.6,2.372,1.04,94.26,1,10,6,297.5,297
3325.6,2.372,1.04,94.26,1,0.5,6,409.7,409.7
2670.8,1.41,1.08,81.5,1,1,6,346.1,346.1
2670.8,1.41,1.08,81.5,1,3,6,290.5,290.5
2670.8,1.41,1.08,81.5,1,5,6,268,268
2670.8,1.41,1.08,81.5,1,7,6,261.2,261.2
2670.8,1.41,1.08,81.5,1,10,6,253,253
2670.8,1.41,1.08,81.5,1,20,6,242,242
2670.8,1.41,1.08,81.5,1,50,6,214.5,214.5
2033,0.98,0.99,93.6,1,0.5,6,376.85,374
2312,1.2,0.98,94.1,1,0.5,6,355,355
1742,0.79,0.88,92.7,1,0.5,6,266,266
2312,1.2,0.98,94.1,1,50,6,231,230
928,0.53,0.83,83.86,1,1,6,312,312
867,0.51,0.87,86.65,1,1,6,356,356
814,0.49,0.92,82.09,1,1,6,344,344
928,0.53,0.83,83.86,1,20,6,252,252
867,0.51,0.87,86.65,1,20,6,300,300
814,0.49,0.92,82.09,1,20,6,280,280
748,0.41,0.84,88.53,1,1,6,323,323
748,0.41,0.84,88.53,1,20,6,268,268
1754,0.888,2.74,85.07,0.8,0.1,6,42.5,42.5
1987,1.047,2.62,83.22,0.8,0.1,6,105.4,105.4
1824,0.978,2.68,83.99,0.8,0.1,6,83.4,83.4
1754,0.888,2.74,85.07,0.8,10,6,23.375,23.375
1987,1.047,2.62,83.22,0.8,10,6,94.86,94.86
1824,0.978,2.68,83.99,0.8,10,6,66.72,66.72
801,0.9,1.15,89.9,1,0.1,6,41.5,41.5
801,0.9,1.15,89.9,1,20,6,41.5,41.5
801,0.9,1.15,89.9,1,0,6,218,218
787,0.9,1.15,96.5,1,0,6,95,95
321.2,0.23,0.4,59.7,1,0.5,6,95,95
343,1.6,1.38,98.47,1,0.1,6,3.933333,2.59
301,1.5,1.25,93.77,1,0.1,6,32.1,34.6
342,1.59,1.22,97.67,1,0.1,6,3.933333,10.6
341,1.34,1.03,93.74,1,0.1,6,32.1,29.6
343,1.6,1.38,98.47,1,5,6,3.933333,2.07
301,1.5,1.25,93.77,1,5,6,27.71,27.71
342,1.59,1.22,97.67,1,5,6,3.933333,4.4
341,1.34,1.03,93.74,1,5,6,23.74,23.74
195,0.66,0.99,97.06,1,5,6,3.933333,0.84
121,0.39,0.89,95.55,1,5,6,11.5,11.5
222,0.81,1.11,97.56,1,5,6,3.933333,3.1
168,0.6,1.07,96.23,1,5,6,8.68,8.68
406,0.2,0.03,69.3,1,10,6,275,275
460,0.2,0.11,88.1,1,0.1,6,271.75,272
460,0.2,0.86,88.1,1,1,6,187,187
460,0.2,0.09,88.1,1,5,6,165,165
460,0.2,0.1,88.1,1,10,6,140,140
45.2,0.7,1.73,78.26,1,1,6,150,150
305.1,2.5,1.73,95.23,1,1,6,89,89
124.5,1.1,1.12,89.89,1,1,6,112,112
427.3,2.8,0.81,91.73,1,1,6,143,143
1218.5,5.3,0.64,95.71,1,1,6,291,291
1754,2.81,0.84,90,0.9,0.5,6,303,303
123.78,1.25,0.57,97.28,1,0,6,145,145
311.05,1.25,0.47,95.24,1,0,6,170,170
